Id,CustomerId,Dauer,Transaktionsvolumen,Vertriebsweg,Reklamation,Kreditrating,Geschlecht,Alter,Versicherungstyp,Versicherungssumme,Gehalt,Wechsel
6517,15795246,lang,mittel,digital,nicht vorgefallen,628,Female,51.0,9,15590382,7115984,kein Wechsel
7117,15765257,durchschnittlich,gering,digital,nicht vorgefallen,564,Male,31.0,5,12146187,2043209,kein Wechsel
8360,15754747,lang,mittel,analog,nicht vorgefallen,686,Male,33.0,9,14191809,18403647,kein Wechsel
1761,15796313,kurz,mittel,digital,vorgefallen,662,Female,36.0,4,1669092,13887112,kein Wechsel
9195,15710315,lang,gering,analog,vorgefallen,529,Male,29.0,4,1357594,11281379,kein Wechsel
4960,15767626,kurz,mittel,digital,nicht vorgefallen,811,Male,42.0,10,0,379779,kein Wechsel
338,15636624,durchschnittlich,gering,digital,vorgefallen,805,Female,39.0,5,16527213,1410985,kein Wechsel
7383,15672912,durchschnittlich,mittel,analog,vorgefallen,737,Female,39.0,7,13005166,5535639,kein Wechsel
7396,15603565,durchschnittlich,mittel,digital,vorgefallen,603,Female,56.0,5,9077876,16222367,Wechsel
3853,15631392,lang,mittel,analog,nicht vorgefallen,654,Male,43.0,9,8467317,8208135,kein Wechsel
3866,15656840,kurz,gering,digital,nicht vorgefallen,547,Female,29.0,6,10445086,3716028,kein Wechsel
830,15695846,kurz,mittel,digital,nicht vorgefallen,684,Female,34.0,6,0,13092822,kein Wechsel
2613,15665221,kurz,mittel,analog,nicht vorgefallen,630,Male,26.0,7,12983772,19700115,kein Wechsel
9157,15778915,kurz,mittel,analog,nicht vorgefallen,737,Female,32.0,7,12855136,18940271,kein Wechsel
5144,15748069,kurz,gering,digital,nicht vorgefallen,485,Female,25.0,3,13446726,11326609,kein Wechsel
3032,15800061,durchschnittlich,hoch,digital,vorgefallen,495,Female,45.0,3,8915894,13516976,Wechsel
6537,15782364,durchschnittlich,gering,analog,vorgefallen,521,Female,39.0,3,14640868,7299367,kein Wechsel
3432,15778219,kurz,gering,digital,vorgefallen,790,Male,26.0,5,0,2051079,Wechsel
5267,15710397,kurz,mittel,digital,vorgefallen,584,Male,26.0,4,0,14760054,kein Wechsel
8251,15751032,lang,mittel,analog,vorgefallen,629,Female,37.0,1,3554981,4967633,kein Wechsel
3896,15767894,kurz,mittel,analog,nicht vorgefallen,741,Female,21.0,9,0,13925954,kein Wechsel
9682,15694628,lang,mittel,digital,vorgefallen,686,Female,39.0,4,1577316,1628206,kein Wechsel
5961,15762993,durchschnittlich,mittel,analog,nicht vorgefallen,796,Male,32.0,5,10277315,11783288,kein Wechsel
4689,15737832,durchschnittlich,gering,analog,vorgefallen,771,Male,45.0,0,13982556,17098497,Wechsel
4377,15696301,kurz,gering,digital,vorgefallen,719,Female,37.0,9,1014557,2580359,Wechsel
2788,15726589,lang,gering,digital,vorgefallen,540,Male,39.0,1,8253111,11409252,kein Wechsel
3549,15647725,kurz,hoch,digital,vorgefallen,675,Female,61.0,5,6205517,16630516,Wechsel
8818,15575391,kurz,mittel,digital,nicht vorgefallen,677,Female,37.0,3,0,3825225,kein Wechsel
7144,15577515,lang,gering,analog,nicht vorgefallen,554,Female,55.0,0,10847727,1400030,Wechsel
509,15598883,durchschnittlich,mittel,digital,nicht vorgefallen,599,Female,37.0,2,0,14373929,kein Wechsel
5909,15713043,kurz,mittel,digital,nicht vorgefallen,691,Female,33.0,6,0,10040831,kein Wechsel
